Feature ID	Taxon	Confidence
006e49e5d50a153bd5e1c88465da4c2a	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	0.9744122223404676
006e506c453a7345b062ec9449e96d29	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_intermedia	0.9995756151675903
0071b7f0728a1110416235f9628df957	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	0.9568327546960229
007529d6573d13add114a885b6ee1d92	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__uncultured;s__uncultured_Niastella	0.7855632470759731
007835756d009c9f08a6c5ce88ea5cf3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Solimonadaceae;g__uncultured;s__uncultured_bacterium	0.9494642674897935
007adf687f324ae35a4d3224bbf42425	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	0.9991540971613415
00810088aaf80463b2362bab4be38b7b	d__Bacteria;p__Bacteroidota;c__SJA-28;o__SJA-28;f__SJA-28;g__SJA-28;s__uncultured_Ignavibacterium	0.999169954798171
008958c9aa031cd450bae76485666e65	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae	0.8896655921099783
0089ecbca4e3b569fb771b0563e111da	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter	0.86125071430675
008b369cd3ff5a72c96f97d022b6bd3f	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__Aspergillus_ustus	0.9653334017405436
008d06c50bfe2464f11f9de615504aeb	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__uncultured_bacterium	0.9621438100177109
00942d9be7f79000302f477522c544c6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__uncultured	0.9098396264898638
009f0b71e8c9a882cd9515c5a6d8cd24	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Adhaeribacter;s__uncultured_bacterium	0.9123214559918571
00a7fcadda7aa90ef4d61641e5efadc7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales	0.9484271134764881
00a836bf926334bb20ce8fa1cae727e5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	0.9998216986842521
00aa0f446137567d2d74d5f7cff48386	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.9999021614311456
00aa7124f0419b400171d6ead02d855b	d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__uncultured;s__uncultured_bacterium	0.9985362767311109
00ae68b0de87ac55082defb7172c4547	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured;g__uncultured	0.7216701121262962
00af19b1ee1cf39bd3c9c716f0943034	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured;g__uncultured;s__uncultured_bacterium	0.7665724255284639
00b44f3ae00d70df042ba7433e4214dd	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;s__actinobacterium_WWH12	0.8062884827068479
00b9d4aaca4037a555c00658ac46cc76	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__C0119;g__C0119;s__uncultured_soil	0.9059019698879722
00bb8a1ab22de757fe931ce06b73d745	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata	0.9841575704044677
00bb949c17089879ec10ca9bdf93ec94	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	0.9836722465060298
00c0a0f65a2b9790a8ad81e041472aea	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__uncultured;s__uncultured_bacterium	0.814387503696708
00c3fc695377711ef3b3a5b7db1b4cfb	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__uncultured_Bacteroidetes	0.9563239028728505
00cd54d0a8a3f17700c9896c76a067b0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales	0.9992407472339435
00cdab498e7452af791d500c7a77bbfe	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__uncultured;s__uncultured_bacterium	0.899466627559531
00d23f0ebd7f035515d1b537ed7d6259	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__uncultured;s__uncultured_bacterium	0.8742557204402487
00d99d2a7edc0a89da4e1247f6cbd40f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13;g__PLTA13	0.9943201181448582
00db8e3f28f416b22b20e32bbfd74d58	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;s__Pararhizobium_giardinii	0.7789889386608612
00dcba6e262a3194c68f52e6af48a071	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__uncultured_bacterium	0.8932236076033656
00dee7fb7b88fcfd3f8b5126e9b86faf	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	0.9927236337722157
00e029dd88833cb21ca19438afed93fa	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured;g__uncultured	0.9773320902558629
00e0d506a1c1c52610ef051b7cd2b485	d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__uncultured;s__uncultured_bacterium	0.8920408067224047
00eaed5cc71983c6e9ef40544b6f4965	d__Bacteria;p__Desulfobacterota	0.7553812317828733
00ef64ae26c9127316762d338c589604	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__uncultured_bacterium	0.9441545196280797
00f42b06115fe713d4249f837a7f6a93	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavisolibacter	0.788200758884371
00f61152f888f31f955b509cd829e632	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pir4_lineage	0.8791559676665033
00ff7a28c40dad4bd2cf93d5efcc1eef	d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25	0.8409547202687095
0101ee92e20ad54892c91c57479fcb56	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas	0.9955840344326855
0107ae8444d0e33253214573c54d829f	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10	0.9978911874964538
010fe5eca251a93360d2e3c71a97bf84	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__A4b;s__uncultured_Caldilineales	0.9720220831394406
